Date,CTS,HAT,MRS,RDT,RGU,SED,SMT,URE
2024-03-07,345307,86516024,277639244,106452494,11737,103671721,132141,
2024-03-10,345307,88453014,278105301,105323354,11737,103671721,132141,
2024-03-11,345307,88526684,273704681,100873954,11737,103671721,132141,
2024-03-12,345307,88205590,271328008,99589128,11737,103671721,132141,
2024-03-13,345307,89510576,265415718,99386349,11737,103671721,132141,
2024-03-14,345307,88723469,264764753,99869287,11737,103671721,132141,
2024-03-17,345307,88723469,264586018,99152409,11737,103671721,132141,
2024-03-18,345307,88723469,263952082,97610263,11737,103671721,132141,
2024-03-19,345307,87756710,265486503,97507448,75977,206653295,131978,
2024-03-20,345307,87756710,265486503,97507448,75977,206653295,131978,
2024-03-21,345307,89057340,264185431,95783145,75977,206653295,131978,
2024-03-24,345307,88889452,264294025,100428355,162127,206653295,131978,
2024-03-25,345307,88759469,266804689,116483700,162127,206653295,131978,
2024-03-26,352084,88650189,273270339,116272291,162127,206653295,131978,-609996.0
2024-03-27,352084,88650189,271636510,124670578,617639,139158448,131978,-609996.0
2024-03-28,352084,88670023,272772027,118981397,617639,139158448,131978,-609996.0
2024-03-31,352084,88537842,270923295,114575427,617639,139158448,131978,-609996.0
2024-04-01,352084,88553490,271663759,114405601,617639,139158448,131978,-609996.0
2024-04-02,352084,81277286,271794265,113133431,617639,139158448,131978,-609996.0
2024-04-03,352084,80902728,270499781,113610211,617639,139158448,131978,-609996.0
2024-04-04,352084,82659915,270143803,113693796,617639,139158448,131978,
2024-04-07,352084,81903806,268481139,110366624,617639,139158448,131978,
2024-04-08,352084,81608324,266052129,111250181,617639,139158448,131978,
2024-04-09,352084,81608324,264169913,111423288,617639,139158448,131978,
2024-04-10,352084,80861184,263581612,110712818,617639,139158448,131978,
2024-04-11,352084,80721123,267789445,106566017,617639,78443826,131978,
2024-04-14,352084,80588393,264177094,106529261,617639,133213593,131978,
2024-04-15,352084,80669491,260485389,106209256,617639,133213593,131978,
2024-04-16,352084,80669491,260187606,113764375,617812,133213593,131978,
2024-04-17,352084,81747204,256174330,112928126,11737,133213593,131978,
2024-04-18,352084,81873998,256971272,114806012,11737,133213593,131978,
2024-04-22,352084,80707639,254436900,113766614,11737,133213593,131978,
2024-04-23,352084,80698174,255167010,112835182,11737,133213593,131978,
2024-04-24,352084,80595839,254692416,112835182,11737,133213593,131978,
2024-04-25,352084,80171733,255054434,112641507,11737,133213593,131978,
2024-04-28,352084,79876959,254886373,107732373,11737,133213593,131978,
2024-04-29,352084,79876959,254886373,107732373,11737,133213593,131978,
2024-04-30,352084,79855103,255240429,102307294,11737,133213593,131978,
2024-05-01,352084,79855103,255240429,102307294,11737,133213593,131978,
2024-05-02,352084,81762753,259633532,111041299,11737,133213593,131978,
2024-05-05,352084,81762753,259633532,111041299,11737,133213593,131978,
2024-05-06,352084,81762753,259633532,111041299,11737,133213593,131978,
2024-05-07,352084,81520618,256711492,111060429,11737,133213593,131978,
2024-05-08,352084,81719830,255038186,110325974,11737,133213593,131978,
2024-05-09,352084,81744990,255131353,115251343,11737,133213593,131978,
